id,diedAt,country
HA0292,1304,MACROREG-EGYPT
HA0292,1304,MACROREG-MAGHRIB
HA0293,1309,MACROREG-RUM
HA0294,1312,MACROREG-RUM
HA0295,1293,MACROREG-EGYPT
HA0296,1301,MACROREG-EGYPT
HA0297,1297,MACROREG-SYRIA
HA0298,1308,MACROREG-SYRIA
HA0299,0,MACROREG-SYRIA
HA0300,1307,MACROREG-RUM
HA0301,1321,MACROREG-IRAN
HA0301,1321,MACROREG-MAWARANNAHR
HA0301,1321,MACROREG-RUM
HA0302,1310,MACROREG-RUM
HA0303,1312,MACROREG-RUM
HA0305,1111,MACROREG-INDIA
HA0306,200,MACROREG-IRAQ
HA0307,200,MACROREG-IRAQ
HA0308,200,MACROREG-IRAQ
HA0309,214,MACROREG-SYRIA
HA0310,215,MACROREG-IRAQ
HA0312,220,MACROREG-IRAQ
HA0312,220,MACROREG-MAWARANNAHR
HA0313,219,MACROREG-IRAN
HA0314,221,MACROREG-IRAQ
HA0315,231,MACROREG-IRAQ
HA0316,234,MACROREG-IRAN
HA0317,234,MACROREG-IRAN
HA0318,240,MACROREG-IRAQ
HA0319,241,MACROREG-IRAN
HA0319,241,MACROREG-IRAQ
HA0319,241,MACROREG-MAWARANNAHR
HA0320,250,MACROREG-EGYPT
HA0321,241,MACROREG-IRAQ
HA0322,243,MACROREG-IRAQ
HA0323,245,MACROREG-IRAQ
HA0325,256,MACROREG-IRAQ
HA0326,258,MACROREG-IRAQ
HA0327,258,MACROREG-IRAN
HA0328,258,MACROREG-IRAQ
HA0329,260,MACROREG-IRAQ
HA0330,261,MACROREG-IRAQ
HA0331,261,MACROREG-IRAQ
HA0331,261,MACROREG-MAGHRIB
HA0332,261,MACROREG-IRAN
HA0332,261,MACROREG-IRAQ
HA0333,261,MACROREG-IRAQ
HA0335,270,MACROREG-EGYPT
HA0336,272,MACROREG-IRAN
HA0337,276,MACROREG-IRAQ
HA0338,265,MACROREG-IRAQ
HA0339,265,MACROREG-IRAQ
HA0340,268,MACROREG-MAWARANNAHR
HA0341,270,MACROREG-IRAN
HA0341,270,MACROREG-IRAQ
HA0342,270,MACROREG-IRAQ
HA0343,270,MACROREG-IRAQ
HA0344,273,MACROREG-IRAN
HA0344,273,MACROREG-IRAQ
HA0346,277,MACROREG-IRAQ
HA0347,279,MACROREG-IRAQ
HA0348,279,MACROREG-IRAQ
HA0349,279,MACROREG-IRAQ
HA0349,279,MACROREG-MAWARANNAHR
HA0350,280,MACROREG-IRAN
HA0350,280,MACROREG-IRAQ
HA0351,284,MACROREG-EGYPT
HA0352,286,MACROREG-IRAQ
HA0354,281,MACROREG-IRAN
HA0355,285,MACROREG-EGYPT
HA0355,285,MACROREG-IRAQ
HA0356,286,MACROREG-IRAN
HA0357,286,MACROREG-IRAN
HA0358,290,MACROREG-IRAQ
HA0359,289,MACROREG-EGYPT
HA0359,289,MACROREG-IRAN
HA0359,289,MACROREG-IRAQ
HA0360,287,MACROREG-IRAN
HA0361,290,MACROREG-IRAQ
HA0362,290,MACROREG-EGYPT
HA0363,290,MACROREG-IRAQ
HA0364,291,MACROREG-IRAN
HA0364,291,MACROREG-IRAQ
HA0366,292,MACROREG-IRAQ
HA0367,292,MACROREG-MAWARANNAHR
HA0368,293,MACROREG-EGYPT
HA0368,293,MACROREG-IRAN
HA0369,293,MACROREG-IRAQ
HA0370,293,MACROREG-IRAQ
HA0371,295,MACROREG-IRAQ
HA0373,297,MACROREG-IRAQ
HA0374,299,MACROREG-IRAN
HA0374,299,MACROREG-IRAQ
HA0375,301,MACROREG-IRAQ
HA0376,0,MACROREG-IRAQ
HA0377,300,MACROREG-IRAQ
HA0378,300,MACROREG-IRAN
HA0381,304,MACROREG-IRAN
HA0381,304,MACROREG-IRAQ
HA0382,306,MACROREG-IRAN
HA0383,311,MACROREG-IRAN
HA0384,212,MACROREG-IRAN
HA0385,306,MACROREG-IRAQ
HA0386,307,MACROREG-IRAQ
HA0389,310,MACROREG-IRAQ
HA0390,311,MACROREG-IRAQ
HA0391,312,MACROREG-IRAQ
HA0392,315,MACROREG-IRAN
HA0393,318,MACROREG-MAGHRIB
HA0394,317,MACROREG-IRAQ
HA0395,318,MACROREG-IRAQ
HA0396,319,MACROREG-IRAQ
HA0397,320,MACROREG-IRAQ
HA0398,321,MACROREG-EGYPT
HA0399,322,MACROREG-ANDALUS
HA0400,322,MACROREG-IRAN
HA0401,323,MACROREG-IRAQ
HA0402,324,MACROREG-IRAQ
HA0404,326,MACROREG-IRAQ
HA0405,328,MACROREG-ANDALUS
HA0406,332,MACROREG-EGYPT
HA0407,330,MACROREG-IRAN
HA0408,333,MACROREG-IRAQ
HA0409,334,MACROREG-IRAQ
HA0410,334,MACROREG-IRAQ
HA0411,335,MACROREG-IRAN
HA0412,336,MACROREG-IRAN
HA0413,337,MACROREG-IRAN
HA0414,338,MACROREG-ANDALUS
HA0415,338,MACROREG-EGYPT
HA0416,340,MACROREG-IRAN
HA0416,340,MACROREG-IRAQ
HA0417,340,MACROREG-ARABIA
HA0417,340,MACROREG-IRAQ
HA0419,340,MACROREG-ARABIA
HA0419,340,MACROREG-MAWARANNAHR
HA0420,341,MACROREG-IRAN
HA0421,341,MACROREG-IRAQ
HA0423,344,MACROREG-ANDALUS
HA0423,344,MACROREG-IRAN
HA0424,344,MACROREG-MAWARANNAHR
HA0425,345,MACROREG-EGYPT
HA0426,348,MACROREG-IRAQ
HA0428,350,MACROREG-IRAQ
HA0429,350,MACROREG-IRAN
HA0430,350,MACROREG-IRAN
HA0431,350,MACROREG-ANDALUS
HA0432,350,MACROREG-IRAQ
HA0433,351,MACROREG-IRAN
HA0434,352,MACROREG-IRAN
HA0434,352,MACROREG-IRAQ
HA0435,353,MACROREG-IRAQ
HA0436,353,MACROREG-IRAN
HA0438,355,MACROREG-EGYPT
HA0438,355,MACROREG-IRAQ
HA0439,360,MACROREG-ANDALUS
HA0443,359,MACROREG-IRAQ
HA0444,360,MACROREG-IRAQ
HA0446,361,MACROREG-IRAN
HA0447,369,MACROREG-SYRIA
HA0448,370,MACROREG-IRAQ
HA0449,370,MACROREG-IRAQ
HA0450,362,MACROREG-IRAQ
HA0450,362,MACROREG-MAWARANNAHR
HA0451,364,MACROREG-IRAN
HA0453,370,MACROREG-IRAN
HA0454,370,MACROREG-IRAQ
HA0455,371,MACROREG-IRAN
HA0456,370,MACROREG-IRAN
HA0456,370,MACROREG-IRAQ
HA0457,381,MACROREG-EGYPT
HA0457,381,MACROREG-IRAN
HA0458,376,MACROREG-IRAQ
HA0459,377,MACROREG-IRAQ
HA0460,379,MACROREG-ANDALUS
HA0461,380,MACROREG-IRAN
HA0462,380,MACROREG-IRAQ
HA0463,382,MACROREG-ANDALUS
HA0465,395,MACROREG-IRAN
HA0467,398,MACROREG-IRAN
HA0469,398,MACROREG-MAWARANNAHR
HA0470,398,MACROREG-MAWARANNAHR
HA0472,399,MACROREG-ANDALUS
HA0473,399,MACROREG-RUM
HA0475,401,MACROREG-IRAQ
HA0476,400,MACROREG-MAGHRIB
HA0477,401,MACROREG-IRAN
HA0478,401,MACROREG-ANDALUS
HA0479,401,MACROREG-ANDALUS
HA0480,401,MACROREG-ANDALUS
