ḥimṣ	ḥimṣ	ḥimṣ	TYPE	LAT	LON	Syria
crimea	crimea	crimea	TYPE	LAT	LON	Russia
soviet	soviet	soviet	TYPE	LAT	LON	Russia
delhi	delhi	delhi	TYPE	LAT	LON	India
ṣanʿāʾ	ṣanʿāʾ	ṣanʿāʾ	TYPE	LAT	LON	Yemen
rūm	rūm	rūm	TYPE	LAT	LON	Turkey
badr	badr	badr	TYPE	LAT	LON	Saudi Arabia
ḥaḍramawt	ḥaḍramawt	ḥaḍramawt	TYPE	LAT	LON	Yemen
konya	konya	konya	TYPE	LAT	LON	Turkey
greece	greece	greece	TYPE	LAT	LON	Greece
yaman	yaman	yaman	TYPE	LAT	LON	Yemen
sīstān	sīstān	sīstān	TYPE	LAT	LON	Iran
ḳazwīn	ḳazwīn	ḳazwīn	TYPE	LAT	LON	Iran
saudi arabia	saudi arabia	saudi arabia	TYPE	LAT	LON	Saudi Arabia
ṭabaristān	ṭabaristān	ṭabaristān	TYPE	LAT	LON	Iran
antioch	antioch	antioch	TYPE	LAT	LON	Turkey
rabat	rabat	rabat	TYPE	LAT	LON	Morocco
cyprus	cyprus	cyprus	TYPE	LAT	LON	Cyprus
oxus	oxus	oxus	TYPE	LAT	LON	Uzbekistan
libya	libya	libya	TYPE	LAT	LON	Libya
ḳayrawān	ḳayrawān	ḳayrawān	TYPE	LAT	LON	Morocco
marrākus̲h̲	marrākus̲h̲	marrākus̲h̲	TYPE	LAT	LON	Morocco
g̲h̲azna	g̲h̲azna	g̲h̲azna	TYPE	LAT	LON	Afghanistan
israel	israel	israel	TYPE	LAT	LON	Syria
aden	aden	aden	TYPE	LAT	LON	Yemen
upper egypt	upper egypt	upper egypt	TYPE	LAT	LON	Egypt
georgia	georgia	georgia	TYPE	LAT	LON	Georgia
wāsiṭ	wāsiṭ	wāsiṭ	TYPE	LAT	LON	Iraq
tunisian	tunisian	tunisian	TYPE	LAT	LON	Tunisia
algerian	algerian	algerian	TYPE	LAT	LON	Algeria
madrid	madrid	madrid	TYPE	LAT	LON	Spain
al-azhar	al-azhar	al-azhar	TYPE	LAT	LON	Egypt
lucknow	lucknow	lucknow	TYPE	LAT	LON	India
bosnia	bosnia	bosnia	TYPE	LAT	LON	Bosnia
princeton	princeton	princeton	TYPE	LAT	LON	USA
d̲j̲azīra	d̲j̲azīra	d̲j̲azīra	TYPE	LAT	LON	Iraq
nad̲j̲af	nad̲j̲af	nad̲j̲af	TYPE	LAT	LON	Iraq
gīlān	gīlān	gīlān	TYPE	LAT	LON	Iran
kas̲h̲mīr	kas̲h̲mīr	kas̲h̲mīr	TYPE	LAT	LON	India
izmir	izmir	izmir	TYPE	LAT	LON	Turkey
māzandarān	māzandarān	māzandarān	TYPE	LAT	LON	Iran
hamadān	hamadān	hamadān	TYPE	LAT	LON	Iran
romans	romans	romans	TYPE	LAT	LON	Italy
fusṭāṭ	fusṭāṭ	fusṭāṭ	TYPE	LAT	LON	Egypt
american	american	american	TYPE	LAT	LON	USA
k̲h̲ūzistān	k̲h̲ūzistān	k̲h̲ūzistān	TYPE	LAT	LON	Iran
crete	crete	crete	TYPE	LAT	LON	Greece
sāmarrā	sāmarrā	sāmarrā	TYPE	LAT	LON	Iraq
albania	albania	albania	TYPE	LAT	LON	Albania
yazd	yazd	yazd	TYPE	LAT	LON	Iran
java	java	java	TYPE	LAT	LON	Indonesia
multān	multān	multān	TYPE	LAT	LON	Pakistan
indus	indus	indus	TYPE	LAT	LON	India
ād̲h̲arbayd̲j̲ān	ād̲h̲arbayd̲j̲ān	ād̲h̲arbayd̲j̲ān	TYPE	LAT	LON	Azerbaijan
diyār bakr	diyār bakr	diyār bakr	TYPE	LAT	LON	Turkey
mosul	mosul	mosul	TYPE	LAT	LON	Iraq
karbalāʾ	karbalāʾ	karbalāʾ	TYPE	LAT	LON	Iraq
erzurum	erzurum	erzurum	TYPE	LAT	LON	Turkey
