[36.53215, 53.11807]	[53.11807, 36.53215]	ابارست,Daylam	[53.314829130551146, 36.61170711173427]
[36.61170711173427, 53.314829130551146]	[53.314829130551146, 36.61170711173427]	ابادان,Daylam	[53.51179164812829, 36.69126375387548]
[36.69126375387548, 53.51179164812829]	[53.51179164812829, 36.69126375387548]	TAMISHA_540E367N_S	[53.70895835296631, 36.77081992545369]
RAYY_515E356N_S	[51.50831, 35.62754]	KARAJ_495E338N_S	[49.54697, 33.88116]
[35.62754, 51.50831]	[51.50831, 35.62754]	كسكانة,Jibal	[51.28648482559267, 35.43528691490896]
[35.43528691490896, 51.28648482559267]	[51.28648482559267, 35.43528691490896]	DIZA_516E353N_O	[51.06518679756565, 35.24303526724253]
[35.24303526724253, 51.06518679756565]	[51.06518679756565, 35.24303526724253]	رباط جرا,Jibal	[50.84441093275497, 35.05078505019051]
[35.05078505019051, 50.84441093275497]	[50.84441093275497, 35.05078505019051]	قرية جرا,Jibal	[50.62415229500537, 34.858536257023026]
[34.858536257023026, 50.62415229500537]	[50.62415229500537, 34.858536257023026]	AWA_505E346N_S	[50.404405994479085, 34.66628888108945]
[34.66628888108945, 50.404405994479085]	[50.404405994479085, 34.66628888108945]	برزانيان,Jibal	[50.18516718697622, 34.474042915817385]
[34.474042915817385, 50.18516718697622]	[50.18516718697622, 34.474042915817385]	خوزن,Jibal	[49.9664310732668, 34.28179835471164]
[34.28179835471164, 49.9664310732668]	[49.9664310732668, 34.28179835471164]	سواد مقولة,Jibal	[49.748192898433885, 34.089555191353234]
RAYY_515E356N_S	[51.50831, 35.62754]	HAMADHAN_485E347N_S	[48.57908, 34.77554]
[35.62754, 51.50831]	[51.50831, 35.62754]	QUSTANA_510E354N_S	[51.23978615976883, 35.55310488140109]
[35.55310488140109, 51.23978615976883]	[51.23978615976883, 35.55310488140109]	MASHKUYA_507E353N_S	[50.971511181196625, 35.47867057950626]
[35.47867057950626, 50.971511181196625]	[50.971511181196625, 35.47867057950626]	ودروه,Jibal	[50.703484148780326, 35.40423709279555]
[35.40423709279555, 50.703484148780326]	[50.703484148780326, 35.40423709279555]	SAWA_504E349N_S	[50.43570415041612, 35.329804419755995]
[35.329804419755995, 50.43570415041612]	[50.43570415041612, 35.329804419755995]	SUSANQIN_500E350N_S	[50.16817027737977, 35.2553725588816]
[35.2553725588816, 50.16817027737977]	[50.16817027737977, 35.2553725588816]	MASDAQAN_498E350N_S	[49.900881624307175, 35.180941508673286]
[35.180941508673286, 49.900881624307175]	[49.900881624307175, 35.180941508673286]	RUDHA_497E351N_S	[49.633837289175, 35.10651126763888]
[35.10651126763888, 49.633837289175]	[49.633837289175, 35.10651126763888]	الدكان,Jibal	[49.367036373281465, 35.032081834293066]
