SOURCE,TARGET,TYPE
الحفر,ويلة,undirected
برقة,الندامة,undirected
الندامة,تاكنست,undirected
تاكنست,المغار,undirected
المغار,حليمان,undirected
حليمان,مخيل,undirected
مخيل,جب الميدعان,undirected
جب الميدعان,جياد الصغير,undirected
جياد الصغير,حى عبد الله,undirected
حى عبد الله,مرج الشيخ,undirected
مرج الشيخ,العقبة,undirected
العقبة,خرائب ابى حليمة,undirected
خرائب ابى حليمة,خربة القوم,undirected
خربة القوم,قصر الشماس,undirected
قصر الشماس,سكة الحمام,undirected
سكة الحمام,جب العوسج,undirected
جب العوسج,كنائس الحرير,undirected
كنائس الحرير,الطاحونة,undirected
الطاحونة,حنية الروم,undirected
حنية الروم,ذات الحمام,undirected
ذات الحمام,بومينه,undirected
بومينه,الاسكندرية,undirected
طرابلس,المسدودة,undirected
المسدودة,ارسطا,undirected
ارسطا,الراشدية,undirected
الراشدية,قصور حسان,undirected
قصور حسان,مغمداش,undirected
مغمداش,سرت,undirected
سرت,قصر العبادى,undirected
قصر العبادى,اليهوديتين,undirected
اليهوديتين,قصر العطش,undirected
قصر العطش,سبخة منهوسا,undirected
سبخة منهوسا,بلد روب,undirected
بلد روب,برمست,undirected
برمست,سلوق,undirected
سلوق,اوبران,undirected
اوبران,قصر الفيل,undirected
قصر الفيل,مليتية,undirected
مليتية,برقة,undirected
أطرابلس,بئر الجمالين,undirected
بئر الجمالين,قصر الدرق,undirected
قصر الدرق,بارجمت,undirected
بارجمت,الفوارة,undirected
الفوارة,قابس,undirected
قابس,الزيتونة,undirected
الزيتونة,كتانة,undirected
كتانة,الكبس,undirected
الكبس,القيروان,undirected
القيروان,السوس الأدنى,undirected
السوس الأدنى,السوس الأقصى,undirected
القيروان,قفصة,undirected
قفصة,قسطيلية,undirected
قسطيلية,تاهرت,undirected
تاهرت,فاس,undirected
فاس,الشقور,undirected
الشقور,البصرة,undirected
القيروان,سطيف,undirected
سطيف,تاهرت,undirected
تاهرت,فاس,undirected
فاس, السوس الأقصى,undirected
القيروان,زويلة,undirected
القيروان,سجلماسة,undirected
القيروان,سجلماسة,undirected
القيروان,تونس,undirected
تونس,طبرقة,undirected
طبرقة,تنس,undirected
تنس,جزيرة بنى زغناى,undirected
القيروان,قابس,undirected
القيروان,نفطة,undirected
القيروان,قرنة,undirected
القيروان,سبيبة,undirected
القيروان,مدينة القصور,undirected
القيروان,المهدية,undirected
القيروان,لافس,undirected
القيروان,الجزيرة,undirected
القيروان,أبة,undirected
القيروان,مرسى الخرز,undirected
القيروان,قابس,undirected
القيروان,قصر الافريقى,undirected
القيروان,مجانة,undirected
مجانة,تبسة,undirected
مجانة,باغلى,undirected
مجانة,دوفانة,undirected
مجانة,عين العصافير,undirected
مجانة,دار ملول,undirected
مجانة,طبنة,undirected
مجانة,مقرة,undirected
مجانة,المسيلة,undirected
مجانة,تبسة,undirected
تبسة,باغلى,undirected
باغلى,دوفانة,undirected
دوفانة,عين العصافير,undirected
عين العصافير,دار ملول,undirected
دار ملول,طبنة,undirected
طبنة,مقرة,undirected
مقرة,المسيلة,undirected
المسيلة,أشير,undirected
أشير,تاهرت,undirected
تاهرت,فكان,undirected
فكان,تلمسان,undirected
تلمسان,جراوة,undirected
تلمسان,صاع,undirected
تاهرت,ناكور,undirected
ناكور,سجلماسة,undirected
فاس,البصرة,undirected
فاس,أزيلة,undirected
القيروان,سوسة,undirected
القيروان,قلشانة,undirected
القيروان,تماجر,undirected
قرطبة,اشبيلية,undirected
اشبيلية,استجة,undirected
قرطبة,طليطلة,undirected
طليطلة,وادي الحجارة,undirected
قرطبة,مكناسة,undirected
مكناسة,هوارة,undirected
هوارة,نفرة,undirected
نفرة,سمورة,undirected
قرطبة,قورية,undirected
قورية,ماردة,undirected
قورية,باجة,undirected
باجة,شنترين,undirected
باجة,فحص البلوط,undirected
فحص البلوط,لبلة,undirected
باجة,قرمونة,undirected
قرمونة,اشبيلية,undirected
استجة,مورور,undirected
مورور,شذونة,undirected
مورور,جبل طارق,undirected
استجة,مالقة,undirected
استجة,أرجدونة,undirected
استجة,بجانة,undirected
استجة,مرسية,undirected
استجة,بلنسية,undirected
بلنسية,طرطوشة,undirected
مرسية,بجانة,undirected
بجانة,مالقة,undirected
مالقة,جبل طارق,undirected
جبل طارق,شذونة,undirected
شذونة,اشبيلية,undirected
البويب,بندقة,undirected
بندقة,عجرود,undirected
عجرود,المدينة,undirected
المدينة,الكرسي,undirected
الكرسي,الحفر,undirected
الحفر,المنزل,undirected
المنزل,ويلة,undirected
السكرية,التليل,undirected
التليل,الغمر,undirected
الغمر,ويلة,undirected
صغر,ويلة,undirected
عمان,معان,undirected
معان,تبوك,undirected
تبوك,تيماء,undirected
تيماء,وادي القرى,undirected
عمان,وبير,undirected
وبير,الأجولى,undirected
الأجولى,ثجر,undirected
ثجر,تيماء,undirected
عمان,العونيد,undirected
العونيد,المحدثة,undirected
المحدثة,النبك,undirected
الجربي,عرفجا,undirected
عرفجا,مخرى,undirected
مخرى,تيماء,undirected
القادسية,المغيثة,undirected
المغيثة,القرعاء,undirected
القرعاء,واقصة,undirected
واقصة,العقبة,undirected
العقبة,القاع,undirected
القاع,زبالة,undirected
زبالة,الشقوق,undirected
الشقوق,البطان,undirected
البطان,الثعلبية,undirected
الثعلبية,الخزيمية,undirected
الخزيمية,أجفر,undirected
أجفر,فيد,undirected
البصرة,الحفير,undirected
الحفير,الرحيل,undirected
الرحيل,الشجى,undirected
الشجى,حفر ابى موسى,undirected
حفر ابى موسى,ماوية,undirected
ماوية,ذات العشر,undirected
ذات العشر,الينسوعة,undirected
الينسوعة,السمينة,undirected
السمينة,القريتين,undirected
القريتين,النباج,undirected
الكوفة,الرهيمة,undirected
الرهيمة,النحيت,undirected
النحيت,القراى,undirected
القراى,الخنفس,undirected
الخنفس,الحشية,undirected
الحشية,الغريفة,undirected
الغريفة,قراكر,undirected
قراكر,الأزرق,undirected
الأزرق,عمان,undirected
هيت,دمشق,undirected
الرحبة,دمشق,undirected
المنهب,وادي القرى,undirected
المنهب,تيماء,undirected
المنهب,تبوك,undirected
المنهب,وادي طيئ,undirected
البصرة,الكوفة,undirected
أخسيكت,قبا,undirected
قبا,أوش,undirected
أوش,أوزكند,undirected
أوزكند,العقبة,undirected
العقبة,طباش,undirected
طباش,برسخان الأعلى,undirected
برسخان الأعلى,موضع بغراخاقان,undirected
اخسيكت,باب,undirected
باب,ترمغان,undirected
ترمغان,جاجستان,undirected
جاجستان,صامغر,undirected
صامغر,خجندة,undirected
إسبيجاب,شاواب,undirected
شاواب,بدوخكث,undirected
بدوخكث,تمتاج,undirected
تمتاج,بارجاخ,undirected
بارجاخ,منزل,undirected
منزل,شاوغر,undirected
شاوغر,طراز,undirected
أسبيجاب,غركرد,undirected
غركرد,بنكث,undirected
بنكث,ستوركث,undirected
بناكث,نهر الشاش,undirected
نهر الشاش,خاوص,undirected
خاوص,زامين,undirected
بنكث الشاش,معدن الفضة,undirected
معدن الفضة,جاجستان,undirected
جاجستان,ترمغان,undirected
بنكث,غركرد,undirected
غركرد,أسبيجاب,undirected
زامين,خاوص,undirected
زامين,ساباط,undirected
ساباط,شاوكث,undirected
شاوكث,خجندة,undirected
سمرقند,زرمان,undirected
زرمان,ربنجن,undirected
ربنجن,الدبوسية,undirected
الدبوسية,كرمينية,undirected
كرمينية,الطواويس,undirected
الطواويس,ديمس,undirected
ديمس,بخارا,undirected
سمرقند,زامين,undirected
زامين,خاوس,undirected
خاوس,بناكث,undirected
بناكث,ستوركث,undirected
ستوركث,بنكث,undirected
سمرقند,درزده,undirected
درزده,كش,undirected
كش,كندك,undirected
كندك,باب الحديد,undirected
باب الحديد,قرنة,undirected
قرنة,ترمذ,undirected
بخارا,بيكند,undirected
بيكند,ميان كال,undirected
ميان كال,فربر,undirected
فربر,جيحون,undirected
بخارا,جكم,undirected
جكم,رباط عتيق,undirected
رباط عتيق,جب سعيد,undirected
جب سعيد,بزدة,undirected
بزدة,رباط خواران,undirected
رباط خواران,قرية البخاريين,undirected
قرية البخاريين,قرية الخوارزميين,undirected
قرية الخوارزميين,بلخان,undirected
بلخان,كالف,undirected
كالف,محلة القياسين,undirected
محلة القياسين,ترمذ,undirected
بخارا,امزه,undirected
امزه,رباط تاش,undirected
رباط تاش,شوروخ,undirected
شوروخ,الرمل,undirected
الرمل,رباط طغان,undirected
رباط طغان,رباط جكربند,undirected
رباط جكربند,رباط حسن,undirected
رباط حسن,نابادغين,undirected
نابادغين,مضيق النهر,undirected
مضيق النهر,رباط ماش,undirected
رباط ماش,رباط سنده,undirected
رباط سنده,بغرقان,undirected
بغرقان,شراخان,undirected
شراخان,كاث,undirected
كاث,خاس,undirected
خاس,نوزكات,undirected
نوزكات,وايخان,undirected
وايخان,نوباغ,undirected
نوباغ,مزداخقان,undirected
مزداخقان,درسان,undirected
درسان,كردر,undirected
كردر,جويقان,undirected
جويقان,قرية براتكين,undirected
قرية براتكين,البحيرة,undirected
رباط ماش,أمير,undirected
أمير,باراب سار,undirected
باراب سار,أرذخيوه,undirected
مزداخقان,وردراغ,undirected
وردراغ,كردر,undirected
كاث,غردمان,undirected
غردمان,وايخان,undirected
وايخان,أرذخيوه,undirected
أرذخيوه,نوكباغ,undirected
اوزارمند,دسكاخان خاس,undirected
دسكاخان خاس,رخشميثن,undirected
رخشميثن,خيوه,undirected
خيوه,كردرانخاس,undirected
كردرانخاس,زردوخ,undirected
زردوخ بريدا ,هزاراسب,undirected
اوزارمند,روزوند,undirected
روزوند,نوزوار,undirected
نوزوار,زمخشر,undirected
زمخشر,الجرجانية,undirected
بخارا,نخشب,undirected
نخشب,الصغانيان,undirected
الصغانيان,دارزنجى,undirected
الصغانيان,باسند,undirected
الصغانيان,بايماب,undirected
الصغانيان,سنكردة,undirected
الصغانيان,بوراب,undirected
الصغانيان,بهام,undirected
الصغانيان,غش,undirected
الصغانيان,زينور,undirected
الصغانيان,هنبان,undirected
الصغانيان,الختل,undirected
الصغانيان,سمرقند,undirected
بلخ,خلم,undirected
خلم,ورواليز,undirected
ورواليز,الطالقان,undirected
الطالقان,بذخشان,undirected
خلم,سمنجان,undirected
سمنجان,أندرابة,undirected
أندرابة,كاربايه,undirected
كاربايه,بنجهير,undirected
بنجهير,فروان,undirected
بلخ,بغلان,undirected
سمنجان,بغلان,undirected
بلخ,مذر,undirected
مذر,كه,undirected
كه,الباميان,undirected
بلخ,أشبورقان,undirected
أشبورقان,الفارياب,undirected
الفارياب,الطالقان,undirected
بلخ,شاوكرد,undirected
شاوكرد,ترمذ,undirected
اليهودية,القاع,undirected
القاع,اشبورقان,undirected
اشبورقان,السدرة,undirected
السدرة,الدستجرده,undirected
الدستجرده,بلخ,undirected
اليهودية,قصر الأمير,undirected
قصر الأمير,فارياب,undirected
فارياب,كرك,undirected
كرك,الطالقان,undirected
اليهودية,أنبار,undirected
أنبار,رباط,undirected
رباط,بلخ,undirected
فارياب,آستانة,undirected
آستانة,جوبين وملين,undirected
جوبين وملين,أندخوذ,undirected
أندخوذ,رباط أفريغون,undirected
رباط أفريغون,قنى غياث,undirected
قنى غياث,كركوه,undirected
مرو,فاز,undirected
فاز,مهدي آباذ,undirected
مهدي آباذ,بحيرآباذ,undirected
بحيرآباذ,القرينين,undirected
القرينين,أسداباذ,undirected
القرينين,حوزان,undirected
حوزان,قصر أحنف,undirected
قصر أحنف,أرسكن,undirected
أرسكن,الأسراب,undirected
الأسراب,كنجاباذ,undirected
كنجاباذ,الطالقان,undirected
الطالقان,كسحان,undirected
كسحان,اليهودية,undirected
مرو,جروجرد,undirected
جروجرد,الدندانقان,undirected
الدندانقان,تلستانة,undirected
تلستانة,أشترمغك,undirected
أشترمغك,سرخس,undirected
مرو,كشميهن,undirected
كشميهن,رباط الحديد,undirected
رباط الحديد,رباط نصرك,undirected
رباط نصرك,جب حماد,undirected
جب حماد,رباط بارس,undirected
رباط بارس,آمل,undirected
آمل,جيحون,undirected
ابشين,رباط شور,undirected
رباط شور,رباط شار,undirected
رباط شار,قرية القاضي,undirected
قرية القاضي,شورمين,undirected
شورمين,قرية المجوس,undirected
قرية المجوس,خاره,undirected
خاره,رباط ميانه,undirected
رباط ميانه,كروخ,undirected
كروخ,هراة,undirected
ابشين,رباط كرزوان,undirected
رباط كرزوان,مرزك,undirected
مرزك,رباطروذ,undirected
رباطروذ,مروالروذ,undirected
مروالروذ,جسر حر,undirected
جسر حر,الطالقان,undirected
هراة,أسفزار,undirected
هراة,مالن,undirected
هراة,كروخ,undirected
هراة,باشان,undirected
باشان,خيسار,undirected
خيسار,استربيان,undirected
استربيان,ماراباذ,undirected
ماراباذ,أوفه,undirected
أوفه,خشت,undirected
هراة,ببنة,undirected
ببنة,كيف,undirected
كيف,بغشور,undirected
غزنين,رباط البارد,undirected
رباط البارد,اسناخ,undirected
اسناخ,حنس,undirected
حنس,الباميان,undirected
غزنين,كرديز,undirected
كرديز,اوغ,undirected
بست,رباط فيروزقند,undirected
رباط فيروزقند,ميغون,undirected
ميغون,رباط كشر,undirected
رباط كشر,بنجواى,undirected
بنجواى,كراباذ,undirected
كراباذ,خرسان,undirected
خرسان,رباط سراب,undirected
رباط سراب,رباط الاوقل,undirected
رباط الاوقل,خنكل اباذ,undirected
خنكل اباذ,قرية غرم,undirected
قرية غرم,قرية خاست,undirected
قرية خاست,قرية جومة,undirected
قرية جومة,خايسار,undirected
سفنجاوى,رباط,undirected
رباط,جنكى,undirected
جنكى,رباط الحجرية,undirected
رباط الحجرية,بنجواى,undirected
بست,داور,undirected
داور,الغور,undirected
زرنج,كركويه,undirected
كركويه,بشتر,undirected
