name,lat,lng,status
KHUSIKAN_524E305N_S_FARI,30.5027,52.48426,old
بئر ابن المرتفع,null,null,null
على اليمين,null,null,null
ASFARAYIN_574E369N_S_KHUR,36.98777,57.43023,old
قاين,null,null,null
NAHRMALIK_445E329N_W_IRAQ,32.94875,44.50953,old
SINIZ_502E299N_S_FARI,29.92283,50.27838,old
JIZAH_623E319N_S_SIJI,31.9686,62.3861,old
SHURAKHAN_609E415N_S_TRAN,41.50228,60.94019,old
عسكر ابى جعفر,null,null,null
AWSAJA_440E259N_S_JAZI,25.98495,44.07861,old
رباط جكربند,null,null,null
ينابد,null,null,null
فلس,null,null,null
SUR_352E332N_S_SHAM,33.26921,35.20796,old
برمست,null,null,null
MARJWA-ZAHR_509E330N_S_JIBA,33.08994,50.95356,old
KAYF_624E352N_S_KHUR,35.20428,62.42996,old
جراناباذ,null,null,null
RAMLA_348E319N_S_SHAM,31.92484,34.86436,old
DAYLAMAN_505E366N_R_DAYL,36.69592,50.52548,old
الصفصاف,null,null,null
BISKAND_583E360N_S_KHUR,36.08371,58.39294,old
رباط فيروزقند,null,null,null
نهر الاردن,null,null,null
TAWAWIS_647E400N_S_TRAN,40.01136,64.78279,old
KHUNAJ_472E373N_S_RIHA,37.38856,47.2569,old
صور نحو,null,null,null
ADHRAMA_417E369N_S_AQUR,36.99109,41.72002,old
الناووسة,null,null,null
القرية الحمراء,null,null,null
بايماب,null,null,null
أشترمغك,null,null,null
FARIYAB_649E364N_S_KHUR,36.46025,64.93938,old
نوكباغ,null,null,null
JUDAD_410E217N_S_JAZI,21.733,41.07197,old
WAYKHAN_601E420N_S_TRAN,42.0552,60.19436,old
الدولاب,null,null,null
ASFABJAY_670E305N_S_SIJI,30.58971,67.02922,old
FARAMA_325E310N_S_EGYP,31.02282,32.59811,old
TAMTAJ_705E425N_S_TRAN,42.56503,70.50767,old
RIBATTUGHAN_628E401N_S_TRAN,40.18541,62.82511,old
JIRUFT_578E286N_S_KIRM,28.69436,57.80498,old
BANAKATH_688E407N_S_TRAN,40.71867,68.80969,old
مليتية,null,null,null
HANIYYARUM_288E308N_S_BARQ,30.80549,28.8519,old
SHAMSIN_367E345N_S_SHAM,34.53863,36.74279,old
ATHAFIT_439E161N_S_YEME,16.11174,43.97249,old
قرية الجن,null,null,null
QAMUHUL_717E236N_S_SIND,23.61826,71.72209,old
فهل فهرة,null,null,null
مخيل,null,null,null
SHURAB_487E312N_S_KHUZ,31.20731,48.79726,old
هروك,null,null,null
TUSTAR_488E320N_R_KHUZ,32.0511,48.85461,old
عين العصافير,null,null,null
KUGHUN_570E296N_S_KIRM,29.61836,57.06721,old
BAYTRAM_356E318N_S_SHAM,31.80167,35.60287,old
FASA_536E289N_S_FARI,28.92193,53.63181,old
سراة,null,null,null
KARUKH_625E344N_S_KHUR,34.47814,62.54651,old
قرية غرم,null,null,null
QADAS_354E331N_S_SHAM,33.12189,35.49123,old
قرقيسيا,null,null,null
MALIQA_044W367N_S_ANDA,36.74791,-4.43066,old
NUBAGH_598E422N_S_TRAN,42.2688,59.81853,old
JANAD_441E136N_S_YEME,13.69225,44.17508,old
RIBATMASH_614E413N_S_TRAN,41.35412,61.49617,old
RADHAN_547E301N_S_FARI,30.12067,54.70209,old
QALUNIYAAWFI_384E403N_S_RIHA,40.32189,38.49484,old
MASILA_045E356N_S_MAGH,35.66309,4.53218,old
ابادان,null,null,null
FURDA_407E346N_S_AQUR,34.679,40.78158,old
رباط علياباذ؟؟؟,null,null,null
AJGH_569E375N_S_DAYL,37.51437,56.95205,old
SHIMSHAT_398E386N_S_AQUR,38.61412,39.83119,old
SARDUS_311E301N_S_EGYP,30.16277,31.18645,old
غبيرا,null,null,null
SHURMIN_635E347N_S_KHUR,34.72729,63.51568,old
KARKH_443E333N_S_IRAQ,33.31703,44.35293,old
زامين,null,null,null
BALISH_676E296N_R_SIJI,29.64265,67.65738,old
BAGHIRQAN_612E414N_S_TRAN,41.43986,61.27533,old
نهر سليمان,null,null,null
کدی,null,null,null
KARU_516E317N_S_FARI,31.79256,51.69552,old
عميان,null,null,null
ضبة,null,null,null
كركويش,null,null,null
BANIYAS_356E332N_S_SHAM,33.2515,35.67787,old
JISRSAMUR_484E418N_S_RIHA,41.84983,48.48301,old
