URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii161	ṣūfism	ṣūfism	sufism	NaN	GRP,REL	no comment
ii2549	abu ’l-ʿabbās	abu ’l-ʿabbās	abu l-abbas	NaN	PER	no comment
ii4228	al-urdunn	al-urdunn	al-urdunn	NaN	TOP	no comment
ii349886	nahr bilāl	nahr bilāl	nahr bilal	NaN	TOP	no comment
ii73234	nahr al-ṣug̲h̲d	nahr al-ṣug̲h̲d	nahr al-sughd	NaN	TOP	no comment
ii387	al-fārābī	al-fārābī	al-farabi	NaN	PER	no comment
ii218773	nahr ḥūrīt̲h̲ of suhrāb	nahr ḥūrīt̲h̲ of suhrāb	nahr hurith of suhrab	NaN	TOP	no comment
ii1388	meḥemmed iv	meḥemmed iv	mehemmed iv	NaN	PER	no comment
ii4196	abu ’l-suʿūd	abu ’l-suʿūd	abu l-suud	NaN	NAM,PER	no comment
ii4266	nihāyat al-arab	nihāyat al-arab	nihayat al-arab	NaN	BOK	no comment
ii113656	ak̲h̲bār al-nūba	ak̲h̲bār al-nūba	akhbar al-nuba	NaN	BOK	no comment
ii1549	d̲h̲ayl	d̲h̲ayl	dhayl	NaN	TRM	no comment
ii7	istanbul	istanbul	istanbul	NaN	TOP	no comment
ii1011	ḳum	ḳum	kum	NaN	TOP	no comment
ii609	diyār bakr	diyār bakr	diyar bakr	NaN	TOP	no comment
ii501	ibn ḥanbal	ibn ḥanbal	ibn hanbal	NaN	PER,REL	no comment
ii941	al-mawṣil	al-mawṣil	al-mawsil	NaN	TOP	no comment
ii802	murād iv	murād iv	murad iv	NaN	PER	no comment
ii218809	nahr rūsiyya	nahr rūsiyya	nahr rusiyya	NaN	TOP	no comment
ii34744	al-wuzarāʾ	al-wuzarāʾ	al-wuzara	NaN	ADM,POL,TRM	no comment
ii123770	nahr al-abyaḍ	nahr al-abyaḍ	nahr al-abyad	NaN	TOP	no comment
ii218852	nahr al-ḳāsimiyya	nahr al-ḳāsimiyya	nahr al-kasimiyya	NaN	TOP	no comment
ii754	taṣawwuf	taṣawwuf	tasawwuf	NaN	TRM	no comment
ii332	ḥanafīs	ḥanafīs	hanafis	NaN	GRP,REL	no comment
ii64	fiḳh	fiḳh	fikh	NaN	REL,TRM	no comment
ii3835	abū ṭālib al-makkī	abū ṭālib al-makkī	abu talib al-makki	NaN	PER	no comment
ii76	palestine	palestine	palestine	NaN	TOP	no comment
ii462	wüstenfeld	wüstenfeld	wustenfeld	NaN	PER	no comment
ii3741	abū ṭāhir	abū ṭāhir	abu tahir	NaN	NAM	no comment
ii767	al-amīn	al-amīn	al-amin	NaN	PER	no comment
ii880	gurgān	gurgān	gurgan	NaN	TOP	no comment
ii2132	austrians	austrians	austrians	NaN	GRP	no comment
ii3388	al-basāsīrī	al-basāsīrī	al-basasiri	NaN	PER	no comment
ii824	adana	adana	adana	NaN	TOP	no comment
ii468	ḳāḍīs	ḳāḍīs	kadis	NaN	POL,REL,TRM	no comment
ii2159	al-ṣūlī	al-ṣūlī	al-suli	NaN	PER	no comment
ii1687	companion of the prophet	companion of the prophet	companion of the prophet	NaN	TRM	no comment
ii73228	nahr sūrā al-asfal	nahr sūrā al-asfal	nahr sura al-asfal	NaN	TOP	no comment
ii353	black sea	black sea	black sea	NaN	TOP	no comment
ii792	tawḥīd	tawḥīd	tawhid	NaN	TRM	no comment
ii10077	kitāb al-mag̲h̲āzī	kitāb al-mag̲h̲āzī	kitab al-maghazi	NaN	BOK	no comment
ii6370	ʿubayd	ʿubayd	ubayd	NaN	NAM	no comment
ii1369	ʿibar	ʿibar	ibar	NaN	BOK,TRM	no comment
ii15161	laylat al-ḳadr	laylat al-ḳadr	laylat al-kadr	NaN	TRM	no comment
ii379	nādir s̲h̲āh	nādir s̲h̲āh	nadir shah	NaN	PER	no comment
ii3593	ʿabd al-karīm	ʿabd al-karīm	abd al-karim	NaN	NAM,PER	no comment
ii729	ṣiffīn	ṣiffīn	siffin	NaN	TOP	no comment
ii218847	nahr arsanās	nahr arsanās	nahr arsanas	NaN	TOP	no comment
ii312	wilāyet	wilāyet	wilayet	NaN	TRM	no comment
ii3508	ibn mād̲j̲id	ibn mād̲j̲id	ibn majid	NaN	PER	no comment
ii218793	nahr tābiḳ	nahr tābiḳ	nahr tabik	NaN	TOP	no comment
ii45376	nahr al-urdunn	nahr al-urdunn	nahr al-urdunn	NaN	TOP	no comment
ii4369	national library	national library	national library	NaN	TOP	no comment
ii2527	s̲h̲aṭṭ al-ʿarab	s̲h̲aṭṭ al-ʿarab	shatt al-arab	NaN	TOP	no comment
ii218848	nahr and̲j̲ā of ibn serapion	nahr and̲j̲ā of ibn serapion	nahr anja of ibn serapion	NaN	TOP	no comment
ii381	fuḳahāʾ	fuḳahāʾ	fukaha	NaN	GRP,REL,TRM	no comment
ii73240	nahr al-sind	nahr al-sind	nahr al-sind	NaN	TOP	no comment
ii1190	luristān	luristān	luristan	NaN	TOP	no comment
ii1028	joseph	joseph	joseph	NaN	PER	no comment
ii1849	sunnī muslims	sunnī muslims	sunni muslims	NaN	GRP	no comment
ii1329	al-ṣafadī	al-ṣafadī	al-safadi	NaN	PER	no comment
ii987	g̲h̲azals	g̲h̲azals	ghazals	NaN	TRM	no comment
ii1609	ṣifa	ṣifa	sifa	NaN	TRM	no comment
ii218833	nahr diyāla	nahr diyāla	nahr diyala	NaN	TOP	no comment
ii4344	abu ’l-fatḥ	abu ’l-fatḥ	abu l-fath	NaN	NAM,PER	no comment
ii95	tunis	tunis	tunis	NaN	TOP	no comment
ii1092	ṣadaḳa	ṣadaḳa	sadaka	NaN	TRM	no comment
ii1059	ibn al-ḳifṭī	ibn al-ḳifṭī	ibn al-kifti	NaN	PER	no comment
ii113410	al-mustaʿṣim bi ’llāh	al-mustaʿṣim bi ’llāh	al-mustasim bi llah	NaN	PER	no comment
ii3746	nallino	nallino	nallino	NaN	PER	no comment
ii3699	bar hebraeus	bar hebraeus	bar hebraeus	NaN	PER	no comment
ii1709	ḳāmūs	ḳāmūs	kamus	NaN	BOK,TRM	no comment
ii2227	abū nuʿaym	abū nuʿaym	abu nuaym	NaN	NAM,PER	no comment
ii1083	nubia	nubia	nubia	NaN	TOP	no comment
ii3545	anṭākiya	anṭākiya	antakiya	NaN	TOP	no comment
ii1341	ik̲h̲wān	ik̲h̲wān	ikhwan	NaN	GRP	no comment
ii1282	ibn al-k̲h̲aṭīb	ibn al-k̲h̲aṭīb	ibn al-khatib	NaN	PER	no comment
ii16481	a.f.l. beeston	a.f.l. beeston	a.f.l. beeston	NaN	PER	no comment
ii34	imām	imām	imam	NaN	TRM	no comment
ii1405	al-baḥrayn	al-baḥrayn	al-bahrayn	NaN	TOP	no comment
ii707	ḳandahār	ḳandahār	kandahar	NaN	TOP	no comment
ii35080	ḥamawī	ḥamawī	hamawi	NaN	NAM,PER	no comment
ii416	greece	greece	greece	NaN	TOP	no comment
ii2606	zoroastrianism	zoroastrianism	zoroastrianism	NaN	GRP,REL	no comment
ii2185	mūsā b. nuṣayr	mūsā b. nuṣayr	musa b. nusayr	NaN	PER	no comment
ii3459	niẓām al-dīn	niẓām al-dīn	nizam al-din	NaN	NAM,PER	no comment
ii218	rome	rome	rome	NaN	TOP	no comment
ii922	british india	british india	british india	NaN	TOP	no comment
ii218892	nahr abī asad	nahr abī asad	nahr abi asad	NaN	TOP	no comment
ii472	israel	israel	israel	NaN	TOP	no comment
ii73225	nahr ḳurṭuba	nahr ḳurṭuba	nahr kurtuba	NaN	TOP	no comment
ii1900	al-s̲h̲aybānī	al-s̲h̲aybānī	al-shaybani	NaN	PER	no comment
ii11580	vasiliev	vasiliev	vasiliev	NaN	PER	no comment
ii72	muḥarram	muḥarram	muharram	NaN	TRM	no comment
ii1718	aya sofya	aya sofya	aya sofya	NaN	REL,TOP	no comment
ii613	ḳādiriyya	ḳādiriyya	kadiriyya	NaN	GRP	no comment
ii1532	al-kisāʾī	al-kisāʾī	al-kisai	NaN	PER	no comment
ii3537	ibn al-bannāʾ	ibn al-bannāʾ	ibn al-banna	NaN	PER	no comment
ii1153	dāwūd	dāwūd	dawud	NaN	NAM	no comment
ii2113	medreses	medreses	medreses	NaN	TRM	no comment
ii1004	taḳlīd	taḳlīd	taklid	NaN	TRM	no comment
ii1535	sanāʾī	sanāʾī	sanai	NaN	PER	no comment
ii3484	maṣlaḥa	maṣlaḥa	maslaha	NaN	TRM	no comment
ii47634	abū zakariyyāʾ al-tibrīzī	abū zakariyyāʾ al-tibrīzī	abu zakariyya al-tibrizi	NaN	PER	no comment
ii631	ḳād̲j̲ārs	ḳād̲j̲ārs	kajars	NaN	GRP	no comment
ii2131	babylonia	babylonia	babylonia	NaN	TOP	no comment
ii35004	al-dihlawī	al-dihlawī	al-dihlawi	NaN	NAM,PER,TOP	no comment
ii1187	ʿaḳl	ʿaḳl	akl	NaN	TRM	no comment
ii619	ibn al-muʿtazz	ibn al-muʿtazz	ibn al-mutazz	NaN	PER	no comment
ii1597	berkeley	berkeley	berkeley	NaN	TOP	no comment
ii218885	nahr al-dam	nahr al-dam	nahr al-dam	NaN	TOP	no comment
ii3563	shakespeare	shakespeare	shakespeare	NaN	PER	no comment
ii2082	maḳrīzī	maḳrīzī	makrizi	NaN	PER	no comment
ii164	aḥmad	aḥmad	ahmad	NaN	NAM,PER	no comment
ii4	ḳurʾān	ḳurʾān	kuran	NaN	BOK	no comment
ii13949	uzbek ssr	uzbek ssr	uzbek ssr	NaN	TOP	no comment
ii749	marwān	marwān	marwan	NaN	PER	no comment
ii1878	taḳiyya	taḳiyya	takiyya	NaN	TRM	no comment
ii3753	ṭarābulus	ṭarābulus	tarabulus	NaN	TOP	no comment
ii1365	d̲j̲awhar	d̲j̲awhar	jawhar	NaN	TRM	no comment
ii1711	ḳadar	ḳadar	kadar	NaN	TRM	no comment
ii657	abū saʿīd	abū saʿīd	abu said	NaN	NAM	no comment
ii961	bayʿa	bayʿa	baya	NaN	TRM	no comment
ii1981	ḳaṣba	ḳaṣba	kasba	NaN	TRM	no comment
ii1359	ʿayn	ʿayn	ayn	NaN	TRM	no comment
ii230	calcutta	calcutta	calcutta	NaN	TOP	no comment
ii47712	muṣṭafā b. bāyezīd	muṣṭafā b. bāyezīd	mustafa b. bayezid	NaN	PER	no comment
ii883	nuzha	nuzha	nuzha	NaN	TRM	no comment
ii1220	idrīs	idrīs	idris	NaN	NAM	no comment
ii1100	süleymān i	süleymān i	suleyman i	NaN	PER	no comment
ii154	taʾrīk̲h̲	taʾrīk̲h̲	tarikh	NaN	BOK,TRM	no comment
ii765	ak̲h̲bār	ak̲h̲bār	akhbar	NaN	TRM	no comment
ii5135	abū ḥātim al-rāzī	abū ḥātim al-rāzī	abu hatim al-razi	NaN	PER	no comment
ii6356	rusūm dār al-k̲h̲ilāfa	rusūm dār al-k̲h̲ilāfa	rusum dar al-khilafa	NaN	BOK	no comment
ii1361	tag̲h̲lib	tag̲h̲lib	taghlib	NaN	GRP	no comment
ii24890	nahr al-ʿāṣī	nahr al-ʿāṣī	nahr al-asi	NaN	TOP	no comment
ii3444	kas̲h̲f al-ẓunūn	kas̲h̲f al-ẓunūn	kashf al-zunun	NaN	BOK	no comment
ii5622	ʿabd allāh b. masʿūd	ʿabd allāh b. masʿūd	abd allah b. masud	NaN	PER	no comment
ii4087	kabul	kabul	kabul	NaN	TOP	no comment
ii3533	sea of marmara	sea of marmara	sea of marmara	NaN	TOP	no comment
ii864	solomon	solomon	solomon	NaN	PER	no comment
ii1556	darband	darband	darband	NaN	TOP	no comment
ii2472	k̲h̲wārazmians	k̲h̲wārazmians	khwarazmians	NaN	GRP,TOP	no comment
ii2047	ḏj̲uwaynī	ḏj̲uwaynī	juwayni	NaN	NAM,PER	no comment
ii851	d̲j̲ibāl	d̲j̲ibāl	jibal	NaN	TOP	no comment
ii1534	palermo	palermo	palermo	NaN	TOP	no comment
ii773	mauritania	mauritania	mauritania	NaN	TOP	no comment
ii1386	crusader	crusader	crusader	NaN	GRP	no comment
ii1089	isḥāḳ	isḥāḳ	ishak	NaN	NAM,PER	no comment
ii1809	lak̲h̲mids	lak̲h̲mids	lakhmids	NaN	GRP	no comment
ii31203	baʿlbak	baʿlbak	balbak	NaN	TOP	no comment
ii327	bombay	bombay	bombay	NaN	TOP	no comment
ii1887	daylamīs	daylamīs	daylamis	NaN	GRP	no comment
ii4358	bilāl	bilāl	bilal	NaN	NAM,PER	no comment
ii292	g̲h̲azal	g̲h̲azal	ghazal	NaN	TRM	no comment
ii14761	d̲j̲aʿfar k̲h̲ān	d̲j̲aʿfar k̲h̲ān	jafar khan	NaN	PER	no comment
ii4099	čingiz-k̲h̲ān	čingiz-k̲h̲ān	cingiz-khan	NaN	PER	no comment
ii4297	ṣāʿid al-andalusī	ṣāʿid al-andalusī	said al-andalusi	NaN	PER	no comment
ii94	france	france	france	NaN	TOP	no comment
ii245	hārūn al-ras̲h̲īd	hārūn al-ras̲h̲īd	harun al-rashid	NaN	PER	no comment
ii1803	k̲h̲adīd̲j̲a	k̲h̲adīd̲j̲a	khadija	NaN	NAM	no comment
ii1799	abū sufyān	abū sufyān	abu sufyan	NaN	PER	no comment
ii218861	nahr al-zarnūḳ	nahr al-zarnūḳ	nahr al-zarnuk	NaN	TOP	no comment
ii1237	al-ʿādil	al-ʿādil	al-adil	NaN	NAM,PER	no comment
ii3568	tād̲j̲ maḥall	tād̲j̲ maḥall	taj mahall	NaN	TOP	no comment
ii1691	ibn ʿabd rabbih	ibn ʿabd rabbih	ibn abd rabbih	NaN	PER	no comment
ii509	bosnia	bosnia	bosnia	NaN	TOP	no comment
ii862	ʿabd al-muʾmin	ʿabd al-muʾmin	abd al-mumin	NaN	PER	no comment
ii1538	ḵh̲ūzistān	ḵh̲ūzistān	khuzistan	NaN	TOP	no comment
ii3659	ibn al-ṣayrafī	ibn al-ṣayrafī	ibn al-sayrafi	NaN	PER	no comment
ii286	zāwiya	zāwiya	zawiya	NaN	REL,TRM	no comment
ii218764	nahr-i k̲h̲āṣṣ	nahr-i k̲h̲āṣṣ	nahr-i khass	NaN	TOP	no comment
ii1223	türkmen	türkmen	turkmen	NaN	GRP	no comment
ii1099	diyārbakr	diyārbakr	diyarbakr	NaN	TOP	no comment
ii1164	taʾrīk̲h̲ bag̲h̲dād	taʾrīk̲h̲ bag̲h̲dād	tarikh baghdad	NaN	BOK	no comment
ii3939	jacobites	jacobites	jacobites	NaN	GRP,REL	no comment
ii16491	hermann	hermann	hermann	NaN	PER	no comment
ii3740	maryam	maryam	maryam	NaN	NAM	no comment
ii556	caliphate	caliphate	caliphate	NaN	TRM	no comment
ii2263	pope	pope	pope	NaN	REL,TRM	no comment
ii913	tak̲h̲alluṣ	tak̲h̲alluṣ	takhallus	NaN	TRM	no comment
ii1480	miʿrād̲j̲	miʿrād̲j̲	miraj	NaN	TRM	no comment
ii4215	russian empire	russian empire	russian empire	NaN	DYN,GRP,TOP	no comment
ii82	ankara	ankara	ankara	NaN	TOP	no comment
ii1326	āmul	āmul	amul	NaN	TOP	no comment
ii2007	ancients	ancients	ancients	NaN	GRP	no comment
ii801	sivas	sivas	sivas	NaN	TOP	no comment
ii4013	ʿarḍ	ʿarḍ	ard	NaN	TRM	no comment
ii2172	tekkes	tekkes	tekkes	NaN	TRM	no comment
ii7977	kemāl pas̲h̲a-zāde	kemāl pas̲h̲a-zāde	kemal pasha-zade	NaN	PER	no comment
ii13910	european turkey	european turkey	european turkey	NaN	TOP	no comment
ii15159	luzūm mā lā yalzam	luzūm mā lā yalzam	luzum ma la yalzam	NaN	TRM	no comment
ii4041	catholics	catholics	catholics	NaN	GRP,REL	no comment
ii483	aden	aden	aden	NaN	TOP	no comment
ii1657	waḥdat al-wud̲j̲ūd	waḥdat al-wud̲j̲ūd	wahdat al-wujud	NaN	TRM	no comment
ii709	afg̲h̲āns	afg̲h̲āns	afghans	NaN	GRP	no comment
ii1205	malta	malta	malta	NaN	TOP	no comment
ii1087	al-bayḍāwī	al-bayḍāwī	al-baydawi	NaN	PER	no comment
ii1712	faṣl	faṣl	fasl	NaN	TRM	no comment
ii952	g̲h̲uzz	g̲h̲uzz	ghuzz	NaN	GRP	no comment
ii932	anṣār	anṣār	ansar	NaN	GRP	no comment
ii692	balkan	balkan	balkan	NaN	TOP	no comment
ii945	ibn saʿīd	ibn saʿīd	ibn said	NaN	PER	no comment
ii55	leiden	leiden	leiden	NaN	TOP	no comment
ii1562	meḥemmed i	meḥemmed i	mehemmed i	NaN	PER	no comment
ii218856	nahr al-ḏj̲adīd	nahr al-ḏj̲adīd	nahr al-jadid	NaN	TOP	no comment
ii1702	ḳaṣr	ḳaṣr	kasr	NaN	TRM	no comment
ii289	franks	franks	franks	NaN	GRP,TOP	no comment
ii21	turks	turks	turks	NaN	ETN,GRP	no comment
ii1493	upper mesopotamia	upper mesopotamia	upper mesopotamia	NaN	TOP	no comment
ii218785	nahr ʿafrīn	nahr ʿafrīn	nahr afrin	NaN	TOP	no comment
ii531	brockelmann	brockelmann	brockelmann	NaN	PER	no comment
ii2281	tanzania	tanzania	tanzania	NaN	TOP	no comment
ii39410	nahr al-ubulla	nahr al-ubulla	nahr al-ubulla	NaN	TOP	no comment
ii146	wazīr	wazīr	wazir	NaN	TRM	no comment
ii218865	nahr al-sus	nahr al-sus	nahr al-sus	NaN	TOP	no comment
ii50	tehran	tehran	tehran	NaN	TOP	no comment
ii1036	ʿabd al-ḥamīd ii	ʿabd al-ḥamīd ii	abd al-hamid ii	NaN	PER	no comment
ii1848	ibn ḵh̲urradād̲h̲bih	ibn ḵh̲urradād̲h̲bih	ibn khurradadhbih	NaN	PER	no comment
ii902	ḥamāsa	ḥamāsa	hamasa	NaN	TRM	no comment
ii2126	malatya	malatya	malatya	NaN	TOP	no comment
ii632	d̲j̲āhiliyya	d̲j̲āhiliyya	jahiliyya	NaN	TRM	no comment
ii113409	al-mustaẓhir bi’llāh	al-mustaẓhir bi’llāh	al-mustazhir billah	NaN	PER	no comment
ii1684	kāfir	kāfir	kafir	NaN	TRM	no comment
ii5995	ibn al-nad̲j̲d̲j̲ār	ibn al-nad̲j̲d̲j̲ār	ibn al-najjar	NaN	PER	no comment
ii3965	bayt al-ḥikma	bayt al-ḥikma	bayt al-hikma	NaN	CUL,TRM	no comment
ii659	kunya	kunya	kunya	NaN	TRM	no comment
ii218850	nahr al-ṣaḳāliba wa ’l-rūs	nahr al-ṣaḳāliba wa ’l-rūs	nahr al-sakaliba wa l-rus	NaN	TOP	no comment
ii646	tīmūrids	tīmūrids	timurids	NaN	GRP	no comment
ii1427	al-k̲h̲aṭīb al-bag̲h̲dādī	al-k̲h̲aṭīb al-bag̲h̲dādī	al-khatib al-baghdadi	NaN	PER	no comment
ii1674	jacob	jacob	jacob	NaN	NAM,PER	no comment
ii1304	lāhawr	lāhawr	lahawr	NaN	TOP	no comment
ii3	egypt	egypt	egypt	NaN	TOP	no comment
ii2065	ḥulwān	ḥulwān	hulwan	NaN	TOP	no comment
ii284	muḥammad ʿalī	muḥammad ʿalī	muhammad ali	NaN	PER	no comment
ii3515	ʿaḳāʾid	ʿaḳāʾid	akaid	NaN	BOK,TRM	no comment
ii599	al-t̲h̲aʿālibī	al-t̲h̲aʿālibī	al-thaalibi	NaN	PER	no comment
ii820	rūmī	rūmī	rumi	NaN	PER	no comment
ii831	ṣāliḥ	ṣāliḥ	salih	NaN	NAM,PER,TRM	no comment
ii133	al-muḳaddasī	al-muḳaddasī	al-mukaddasi	NaN	PER	no comment
ii993	hamad̲h̲ān	hamad̲h̲ān	hamadhan	NaN	TOP	no comment
ii2102	zāwiyas	zāwiyas	zawiyas	NaN	TRM	no comment
ii1109	united states	united states	united states	NaN	TOP	no comment
ii16473	baḥr al-rūm	baḥr al-rūm	bahr al-rum	NaN	TOP	no comment
ii447	s̲h̲ayk̲h̲ al-islām	s̲h̲ayk̲h̲ al-islām	shaykh al-islam	NaN	REL,TRM	no comment
ii3590	petersburg	petersburg	petersburg	NaN	TOP	no comment
ii4259	muʿtazilites	muʿtazilites	mutazilites	NaN	GRP,REL	no comment
ii638	ibn rusta	ibn rusta	ibn rusta	NaN	PER	no comment
ii832	lévi-provençal	lévi-provençal	levi-provencal	NaN	PER	no comment
ii1867	antalya	antalya	antalya	NaN	TOP	no comment
ii1901	nasab	nasab	nasab	NaN	TRM	no comment
ii1229	turkomans	turkomans	turkomans	NaN	GRP	no comment
ii2194	abu ’l-farad̲j̲ al-iṣfahānī	abu ’l-farad̲j̲ al-iṣfahānī	abu l-faraj al-isfahani	NaN	PER	no comment
ii31800	nahr al-aʿwad̲j̲	nahr al-aʿwad̲j̲	nahr al-awaj	NaN	TOP	no comment
ii693	south arabia	south arabia	south arabia	NaN	TOP	no comment
ii11562	köprülü-zāde	köprülü-zāde	koprulu-zade	NaN	PER	no comment
ii203	allāh	allāh	allah	NaN	TRM	no comment
ii1014	sid̲j̲ilmāsa	sid̲j̲ilmāsa	sijilmasa	NaN	TOP	no comment
ii1311	banū hilāl	banū hilāl	banu hilal	NaN	GRP,TRB	no comment
ii123763	nahr multān	nahr multān	nahr multan	NaN	TOP	no comment
ii3454	umm	umm	umm	NaN	TRM	no comment
ii1184	sezgin	sezgin	sezgin	NaN	PER	no comment
ii1203	ʿabd al-d̲j̲abbār	ʿabd al-d̲j̲abbār	abd al-jabbar	NaN	NAM	no comment
ii1979	bust	bust	bust	NaN	TOP	no comment
ii518	sand̲j̲ar	sand̲j̲ar	sanjar	NaN	PER	no comment
ii35407	ʿabd al-fattāḥ	ʿabd al-fattāḥ	abd al-fattah	NaN	NAM	no comment
ii288	pas̲h̲a	pas̲h̲a	pasha	NaN	TRM	no comment
ii392	ibn ḥad̲j̲ar	ibn ḥad̲j̲ar	ibn hajar	NaN	PER	no comment
ii2273	ahl al-bayt	ahl al-bayt	ahl al-bayt	NaN	GRP,REL,SOC,TRM	no comment
ii853	bougie	bougie	bougie	NaN	TOP	no comment
ii3414	abū maʿs̲h̲ar	abū maʿs̲h̲ar	abu mashar	NaN	PER	no comment
ii4305	farīd al-dīn ʿaṭṭār	farīd al-dīn ʿaṭṭār	farid al-din attar	NaN	PER	no comment
ii15034	ʿad̲j̲āʾib al-hind	ʿad̲j̲āʾib al-hind	ajaib al-hind	NaN	BOK	no comment
ii2110	al-ḳāhira	al-ḳāhira	al-kahira	NaN	TOP	no comment
ii240	meḥemmed ii	meḥemmed ii	mehemmed ii	NaN	PER	no comment
ii826	great britain	great britain	great britain	NaN	TOP	no comment
ii1206	turkistān	turkistān	turkistan	NaN	TOP	no comment
ii2386	nāṣir al-dawla	nāṣir al-dawla	nasir al-dawla	NaN	NAM,PER	no comment
ii1743	chad	chad	chad	NaN	TOP	no comment
ii1120	ceylon	ceylon	ceylon	NaN	TOP	no comment
ii1143	dirhams	dirhams	dirhams	NaN	TRM	no comment
ii14642	baḥr fāris	baḥr fāris	bahr faris	NaN	TOP	no comment
ii1008	selīm iii	selīm iii	selim iii	NaN	PER	no comment
ii69	madrasa	madrasa	madrasa	NaN	TRM	no comment
ii482	d̲h̲ikr	d̲h̲ikr	dhikr	NaN	REL,TRM	no comment
ii3790	wahhābiyya	wahhābiyya	wahhabiyya	NaN	GRP,REL	no comment
ii1251	aḥmadābād	aḥmadābād	ahmadabad	NaN	TOP	no comment
ii3402	maktab	maktab	maktab	NaN	TRM	no comment
ii1163	ridda	ridda	ridda	NaN	TRM	no comment
ii267	pakistan	pakistan	pakistan	NaN	TOP	no comment
ii1060	bonn	bonn	bonn	NaN	TOP	no comment
ii4055	oblast	oblast	oblast	NaN	TOP,TRM	no comment
ii184	al-maḳrīzī	al-maḳrīzī	al-makrizi	NaN	PER	no comment
ii592	multān	multān	multan	NaN	TOP	no comment
ii643	daʿwa	daʿwa	dawa	NaN	TRM	no comment
ii108828	nahr al-nars	nahr al-nars	nahr al-nars	NaN	TOP	no comment
ii368	abū ḥanīfa	abū ḥanīfa	abu hanifa	NaN	PER,REL	no comment
ii1371	sid̲j̲istān	sid̲j̲istān	sijistan	NaN	TOP	no comment
ii3541	s̲h̲āfiʿism	s̲h̲āfiʿism	shafiism	NaN	GRP,LAW,REL	no comment
ii2293	firmān	firmān	firman	NaN	TRM	no comment
ii581	ibrāhīm pas̲h̲a	ibrāhīm pas̲h̲a	ibrahim pasha	NaN	PER	no comment
ii1357	mālik b. anas	mālik b. anas	malik b. anas	NaN	PER	no comment
ii4419	bektās̲h̲iyya	bektās̲h̲iyya	bektashiyya	NaN	GRP,REL	no comment
ii2070	french protectorate	french protectorate	french protectorate	NaN	POL	no comment
ii1032	al-riyāḍ	al-riyāḍ	al-riyad	NaN	TOP	no comment
ii996	minorsky	minorsky	minorsky	NaN	PER	no comment
ii337	k̲h̲alīfa	k̲h̲alīfa	khalifa	NaN	POL,REL,TRM	no comment
ii13970	leiden university library	leiden university library	leiden university library	NaN	TOP	no comment
ii931	al-maḳḳarī	al-maḳḳarī	al-makkari	NaN	PER	no comment
ii218857	nahr al-ʿīsā	nahr al-ʿīsā	nahr al-isa	NaN	TOP	no comment
ii1501	malaṭya	malaṭya	malatya	NaN	TOP	no comment
ii1214	strabo	strabo	strabo	NaN	PER	no comment
ii13972	k. al-mag̲h̲āzī	k. al-mag̲h̲āzī	k. al-maghazi	NaN	BOK	no comment
ii464	marrākus̲h̲	marrākus̲h̲	marrakush	NaN	TOP	no comment
ii2200	faḍāʾil	faḍāʾil	fadail	NaN	BOK,TRM	no comment
ii1788	ḥalḳa	ḥalḳa	halka	NaN	TRM	no comment
ii936	india	india	india	NaN	TOP	no comment
ii3887	council of ministers	council of ministers	council of ministers	NaN	ADM,GRP,POL	no comment
ii4391	čečnya	čečnya	cecnya	NaN	TOP	no comment
ii217	sudan	sudan	sudan	NaN	TOP	no comment
ii2044	abū ṭālib	abū ṭālib	abu talib	NaN	NAM	no comment
ii1215	seyāḥat-nāme	seyāḥat-nāme	seyahat-name	NaN	BOK	no comment
ii859	tīmār	tīmār	timar	NaN	TRM	no comment
ii218787	nahr zubayda	nahr zubayda	nahr zubayda	NaN	TOP	no comment
ii1245	k̲h̲azars	k̲h̲azars	khazars	NaN	GRP	no comment
ii794	āgra	āgra	agra	NaN	TOP	no comment
ii35053	hillenbrand	hillenbrand	hillenbrand	NaN	PER	no comment
ii1176	marco polo	marco polo	marco polo	NaN	PER	no comment
ii192	adab	adab	adab	NaN	TRM	no comment
ii370	nad̲j̲d	nad̲j̲d	najd	NaN	TOP	no comment
ii3898	communists	communists	communists	NaN	GRP,POL	no comment
ii15151	mālik b. ʿawf	mālik b. ʿawf	malik b. awf	NaN	PER	no comment
ii4137	ṣadr al-dīn	ṣadr al-dīn	sadr al-din	NaN	NAM,PER	no comment
ii1110	k̲h̲ānaḳāh	k̲h̲ānaḳāh	khanakah	NaN	TRM	no comment
ii1346	mawlid	mawlid	mawlid	NaN	TRM	no comment
ii251	lahore	lahore	lahore	NaN	TOP	no comment
ii1623	abu ’l-hud̲h̲ayl	abu ’l-hud̲h̲ayl	abu l-hudhayl	NaN	NAM	no comment
ii31268	al-sūs al-adnā	al-sūs al-adnā	al-sus al-adna	NaN	TOP	no comment
ii1234	john	john	john	NaN	NAM	no comment
ii3943	mozarabs	mozarabs	mozarabs	NaN	CUL,ETN,GRP	no comment
ii1759	ʿakkā	ʿakkā	akka	NaN	TOP	no comment
ii120	mamlūks	mamlūks	mamluks	NaN	DYN,GRP	no comment
ii1733	agra	agra	agra	NaN	TOP	no comment
ii1018	kātib čelebi	kātib čelebi	katib celebi	NaN	PER	no comment
ii3606	abū mūsā	abū mūsā	abu musa	NaN	NAM,PER	no comment
ii218872	nahr al-rufayl	nahr al-rufayl	nahr al-rufayl	NaN	TOP	no comment
