URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii5136	tahāfut al-tahāfut	tahāfut al-tahāfut	tahafut al-tahafut	NaN	BOK	no comment
ii604	al-muʿizz	al-muʿizz	al-muizz	NaN	PER	no comment
ii1156	ḥunayn	ḥunayn	hunayn	NaN	NAM	no comment
ii1221	bayhaḳī	bayhaḳī	bayhaki	NaN	PER	no comment
ii2079	abū s̲h̲āma	abū s̲h̲āma	abu shama	NaN	PER	no comment
ii5621	ʿās̲h̲i̊ḳ-pas̲h̲a-zāde	ʿās̲h̲i̊ḳ-pas̲h̲a-zāde	ashik-pasha-zade	NaN	PER	no comment
ii86	berlin	berlin	berlin	NaN	TOP	no comment
ii2000	suhrawardī	suhrawardī	suhrawardi	NaN	PER	no comment
ii634	ḏj̲umādā i	ḏj̲umādā i	jumada i	NaN	TRM	no comment
ii9464	umayyad spain	umayyad spain	umayyad spain	NaN	DYN,TOP	no comment
ii3548	ibrāhīm b. al-mahdī	ibrāhīm b. al-mahdī	ibrahim b. al-mahdi	NaN	PER	no comment
ii502	madrid	madrid	madrid	NaN	TOP	no comment
ii5138	helsinki	helsinki	helsinki	NaN	TOP	no comment
ii31193	bokhara	bokhara	bokhara	NaN	TOP	no comment
ii5620	baṭāʾiḥ	baṭāʾiḥ	bataih	NaN	TOP	no comment
ii4378	āmū daryā	āmū daryā	amu darya	NaN	TOP	no comment
ii1074	saʿd	saʿd	sad	NaN	NAM	no comment
ii4425	s̲h̲us̲h̲tar	s̲h̲us̲h̲tar	shushtar	NaN	TOP	no comment
ii4032	grunebaum	grunebaum	grunebaum	NaN	PER	no comment
ii718	slane	slane	slane	NaN	PER	no comment
ii14705	meḥmed bey	meḥmed bey	mehmed bey	NaN	PER	no comment
ii3658	vatican	vatican	vatican	NaN	TOP	no comment
ii515	al-ḥad̲j̲d̲j̲ād̲j̲	al-ḥad̲j̲d̲j̲ād̲j̲	al-hajjaj	NaN	PER,TRM	no comment
ii505	zakāt	zakāt	zakat	NaN	REL,TRM	no comment
ii706	austria	austria	austria	NaN	TOP	no comment
ii4517	abū ḥanīfa al-dīnawarī	abū ḥanīfa al-dīnawarī	abu hanifa al-dinawari	NaN	PER	no comment
ii13892	mamlūk syria	mamlūk syria	mamluk syria	NaN	DYN,TOP	no comment
ii1017	imruʾ al-ḳays	imruʾ al-ḳays	imru al-kays	NaN	PER	no comment
ii2024	ḏj̲ahāngīr	ḏj̲ahāngīr	jahangir	NaN	PER	no comment
ii1299	ḥalab	ḥalab	halab	NaN	TOP	no comment
ii46	morocco	morocco	morocco	NaN	TOP	no comment
ii920	maḥmūd of g̲h̲azna	maḥmūd of g̲h̲azna	mahmud of ghazna	NaN	PER	no comment
ii774	mud̲j̲tahid	mud̲j̲tahid	mujtahid	NaN	TRM	no comment
ii12	ʿirāḳ	ʿirāḳ	irak	NaN	TOP	no comment
