node_without_coord,nearest_coords
آزر,"[['BADAH_499E312N_S', 2], ['AHWAZ_486E313N_R', 2]]"
كيس,"[['KHUWAR_524E352N_S', 1], ['KAHDA_520E353N_S', 2]]"
حارفة,[]
البق,"[['BUZJAN_606E351N_S', 2], ['HARA_621E343N_R', 2]]"
خرندة,"[['SUMAYRAM_518E313N_S', 1], ['ARRAJAN_502E306N_S', 2]]"
قناة سرى,"[['HARA_621E343N_R', 3], ['RADHAN_547E301N_S', 4]]"
بريدا,[]
كنكابان,"[['MASHKA_639E274N_S', 2], ['MANSURA_688E258N_S', 2]]"
جاه زندايا,"[['DARABAJIRD_545E287N_S', 1], ['FASA_536E289N_S', 2]]"
زنك,"[['KHAWADHAN_515E302N_S', 2], ['DAKHWID_512E303N_S', 3]]"
البحيرة,"[['QARYABARATIKIN_599E431N_S', 1], ['JUWIQAN_598E429N_S', 2]]"
أشترمغك,"[['SARAKHS_611E365N_S', 1], ['TALASTANA_614E370N_S', 1]]"
تيز مكران,"[['KHUWAR_524E352N_S', 2], ['KAHDA_520E353N_S', 3]]"
قرية الحمام,"[['ISTAKHR_529E299N_S', 1], ['BAYDA_370E267N_S', 2]]"
کدی,"[['SAFR_416E208N_S', 1], ['KUDAYY_418E205N_S', 2]]"
وبير,"[['AJWALI_374E298N_S', 1], ['THAJR_378E288N_S', 2]]"
نهر سليمان,"[['JIRUFT_578E286N_S', 2], ['KHABR_563E288N_S', 3]]"
مهربان,"[['RISHAHR_502E303N_S', 1], ['SINIZ_502E299N_S', 1]]"
الخالديات,"[['SINNNUHAS_416E393N_S', 1], ['QALIQALA_412E399N_S', 2]]"
ارسطا,"[['QUSURHASSAN_158E312N_S', 2], ['BAYRUT_355E339N_S', 3]]"
كثة,"[['ANJIRA_544E321N_S', 1], ['YAZD_543E319N_S', 2]]"
معدن الفضة,"[['TURMUGHAN_708E407N_S', 2], ['JAJISTAN_704E405N_S', 3]]"
الخبارجان,"[['DINAWAR_474E346N_S', 1], ['SISAR_469E353N_S', 2]]"
البیضاء,"[['QURH_379E265N_S', 1], ['HIJRSALIH_379E268N_S', 2]]"
الطاحونة,"[['HANIYYARUM_288E308N_S', 1], ['TAHUNA_283E308N_S', 2]]"
رباط فيروزقند,"[['BUST_643E313N_R', 1], ['RIBATABDALLAH_639E313N_S', 2]]"
انرى,"[['RUR_689E276N_S', 1], ['QALLARI_688E264N_S', 2]]"
القسطنطينية,[]
ارجان,"[['RISHAHR_502E303N_S', 1], ['ZAYTUN_503E305N_S', 1]]"
بندق,"[['ZAYTUN_503E305N_S', 2], ['ARRAJAN_502E306N_S', 3]]"
رباط البارد,"[['KARDIZ_691E336N_S', 2], ['GHAZNA_684E335N_S', 3]]"
طبوس,"[['MALATIN_383E383N_S', 1], ['SHIMSHAT_398E386N_S', 1]]"
نخشب,"[['SAGHANIYAN_678E382N_R', 1], ['SAMARQAND_670E396N_S', 2]]"
قرقيسيا,"[['DALIYA_407E347N_S', 1], ['FUDAYN_405E354N_S', 1]]"
ماویة,"[['BASRA_058W348N_S', 5], ['KUFA_443E320N_S', 6]]"
قرية خاست,"[['KHAYSAR_673E324N_S', 2], ['ROUTPOINT1918_679E330N_O', 3]]"
قلشانة,"[['QAYRAWAN_101E357N_S', 1], ['ROUTPOINT1217_101E357N_O', 2]]"
الراشدية,"[['QUSURHASSAN_158E312N_S', 1], ['MAGHMADASH_162E311N_S', 2]]"
أخسيكت,"[['QUBA_721E405N_S', 1], ['ZANDARAMASH_720E402N_S', 2]]"
كلكاو,"[['NAYSABUR_587E361N_R', 1], ['DARIN_501E262N_S', 1]]"
هنته,"[['BIMAND_555E296N_S', 1], ['KURDAKAN_556E297N_S', 2]]"
قلعة المجوس,"[['ANJIRA_544E321N_S', 2], ['QARYAASAD_538E315N_S', 2]]"
رباط علياباذ,"[['JARMJUWI_540E359N_S', 1], ['SIMNAN_534E354N_S', 1]]"
كوفى,"[['ABIWARD_595E372N_S', 1], ['QALMAYHAN_592E371N_S', 2]]"
المغار,"[['HALIMAN_222E327N_S', 1], ['JUBBMAYDAN_233E321N_S', 2]]"
العينية,"[['SUMAYRAM_518E313N_S', 3], ['RISHAHR_502E303N_S', 3]]"
الجامدة,"[['AHWAZ_486E313N_R', 3], ['ZUBAYDIYYA_469E344N_S', 3]]"
طابران,"[['NAYSABUR_587E361N_R', 4], ['RIWAND_583E361N_S', 5]]"
رنیة,"[['TABALA_424E200N_S', 1], ['RANYA_421E203N_S', 2]]"
نشديغن,"[['NAYSABUR_587E361N_R', 1], ['RIWAND_583E361N_S', 2]]"
جاشان,"[['FARAH_620E323N_S', 3], ['NIH_600E315N_S', 4]]"
جايمن,"[['SANKAN_594E350N_S', 1], ['JAYIMAND_598E350N_S', 2]]"
دات العشر,"[['QARYATAYN_164E311N_O', 3], ['SURT_166E310N_S', 4]]"
مهرجاناواذ,"[['BAGHDAD_443E333N_S', 3], ['SHIRAZ_525E296N_S', 3]]"
الأرد,"[['QARYAASAD_538E315N_S', 1], ['QARYAMAJUS_541E317N_S', 2]]"
قاووس,"[['SUGHAR_354E310N_S', 1], ['BAYTMAQDIS_352E317N_S', 2]]"
قرية جويم,"[['KHULLAR_521E299N_S', 1], ['SHIRAZ_525E296N_S', 1]]"
ودروه,"[['MASHKUYA_507E353N_S', 1], ['SAWA_504E349N_S', 1]]"
حبس,"[['ZAYTUN_503E305N_S', 1], ['ARRAJAN_502E306N_S', 2]]"
المعلاة,"[['RAWHA_392E241N_S', 1], ['BADR_447E138N_R', 1]]"
قصر الأمير,"[['YAHUDIYYA_648E359N_S', 1], ['FARIYAB_649E364N_S', 1]]"
درسان,"[['KARDAR_597E428N_S', 1], ['MAZDAKHKAN_595E423N_S', 2]]"
عقبة أفيق,"[['TABARIYYA_355E327N_S', 1], ['BAYSAN_354E325N_S', 2]]"
هروك,"[['HURMUZ_569E270N_S', 2], ['FURDA_407E346N_S', 3]]"
