name,lat,lng,status
جسداء,42.71961,19.51994,old
عسقلان,34.55455,31.66572,old
سمنان,53.40856,35.49513,old
كرديز,69.15407,33.62249,old
ميافارقين,41.00798,38.14322,old
كردكان,55.67825,29.79365,old
جرباذقان,50.29276,33.3812,old
الصفراء,38.95085,24.03308,old
بمولصة,null,null,null
مرج وزهر,50.95356,33.08994,old
قصبة الدورق,null,null,null
رباط طغان,62.82511,40.18541,old
رباط حسن,62.28269,40.50009,old
كشميهن,62.59986,37.78994,old
رزمانان,null,null,null
شمكور,46.06157,40.99521,old
قرية القاضي,null,null,null
مرج الشيخ,24.83486,31.67644,old
سنكردة,67.57933,38.50044,old
جياد الصغير,23.96719,31.99027,old
بئر,53.012592020511164,30.070846144282005,new
رباط علياباذ؟؟؟ پانویس,null,null,null
شيراز,52.52867,29.61884,old
کدی,null,null,null
عقبة الشهداء,null,null,null
نوكباغ,null,null,null
حنس,null,null,null
ینبع,null,null,null
قصدار,66.59495,27.7765,old
غردمان,60.37258,41.88381,old
صيدا,35.749715872536854,34.030482893637476,new
بريدا,null,null,null
شوراب,48.79726,31.20731,old
الراس العین,null,null,null
سقيا بنى غفار,null,null,null
جاجستان,null,null,null
العرف,44.27297,15.09101,old
درابجرد,54.54591,28.75143,old
جركان,51.78402,30.09815,old
دريز,51.54129,29.66188,old
عقبة أفيق,null,null,null
كورد وكلار,null,null,null
الرها,38.82122,37.1497,old
كير حراس,null,null,null
السكرية,34.65335,31.56416,old
قرية الجن,null,null,null
ماراباذ,63.00426,34.3371,old
تل حوم,39.75447,38.19784,old
جابروان,null,null,null
شروان,64.84747,31.97709,old
استجة,-5.10865,37.53493,old
الینسوعة,null,null,null
طبرية,35.51241,32.77755,old
الروذة,49.791,35.10371,old
كرمينية,65.40937,40.14581,old
الدورق,48.92625,30.81069,old
دهك,null,null,null
جبل بيستون,47.37449394914534,34.396500972026736,new
قرح,37.99288,26.55412,old
مرند,45.80321,38.46017,old
البويب,31.57979,30.16955,old
جسر سمور,48.48301,41.84983,old
كيف,62.42996,35.20428,old
ساغن,null,null,null
النوبندجان,51.55235,30.12743,old
سرشك,null,null,null
برزة,46.2141,36.5057,old
جوبين وملين,null,null,null
قصر أحنف,63.21212,35.76147,old
كراباذ,null,null,null
الجحفة,39.12422,22.60833,old
العريش,-4.52149,32.30201,old
الصغانيان,67.89454,38.26337,old
صنعاء,44.20186,15.37373,old
بيمند,55.59756,29.66254,old
المسيلة,4.53218,35.66309,old
نخشب,null,null,null
الزيز,null,null,null
بدا یعقوب,null,null,null
مجدل سلم,null,null,null
نوزوار,59.39815,42.00196,old
سميرم,51.81266,31.35567,old
هراة,62.15235,34.33419,old
فسا,53.63181,28.92193,old
طريثيث,58.4113,35.13557,old
قصر أعين,52.44521,30.82066,old
خانقين,45.44708,34.34844,old
جعفرآباذ,51.81266,31.19326,old
خسروجرد,57.47851,36.18956,old
طاق سعيد,null,null,null
خير,53.93868,29.25944,old
جرجرايا,45.31987,32.74104,old
السرحتین,null,null,null
الملتان,71.33072221683409,29.038399925997936,new
حبس,null,null,null
خرمة,null,null,null
قلقاطوس,46.6459,40.20714,old
بسابك,50.183502200953704,30.647576502524704,new
الجار,38.50713,23.8182,old
كلكاو,null,null,null
ريشهر,50.22217,30.34108,old
زياداباذ,null,null,null
هرمز,null,null,null
الخبارجان,null,null,null
جبل لبنان,35.99225,34.15941,old
نهر من,null,null,null
السوس الأدنى,null,null,null
خرائب ابى حليمة,null,null,null
قاين,null,null,null
دار ملول,null,null,null
وادي الملح,49.66394743367251,31.19008630113533,new
غزة,34.45664,31.49664,old
ديمس,64.60644619122615,39.899891520105946,new
مخيل,null,null,null
القرية الحمراء,null,null,null
بئر ابن المرتفع,40.02390238361714,21.428622240999616,new
بيابشوراب,52.68133,28.69894,old
بسطام,55.07205,36.45952,old
عونید,null,null,null
النير,47.9913,38.02656,old
قصر العطش,18.19751,30.54115,old
مزداخقان,59.5047,42.39769,old
ابتعه,50.05422,33.62812,old
نسا,52.36712,30.03958,old
جكم,64.73843,39.58498,old
یبنبم,null,null,null
الديلمان,50.52548,36.69592,old
شهرزور,46.01676,35.25767,old
جسر شاغر,null,null,null
موسى آباذ,null,null,null
قابس,10.08563,33.86603,old
القريتين,16.44486,31.18315,old
على اليمين,null,null,null
غبيرا,null,null,null
شرف ذي النمل,null,null,null
أوزكند,null,null,null
بطن النخل,40.00579,24.85968,old
حران,39.08906,36.88438,old
مکه,39.83612,21.39132,old
هيت,42.80628,33.6437,old
بذخشان,70.79525,37.59609,old
الزيتون,50.39397,30.51616,old
فاز,62.29575,37.39749,old
ابادان,null,null,null
الأفلاغونية,null,null,null
نهر دبا,47.988804785819546,30.456916954458,new
یحصب,44.21587303913074,14.378239270113992,new
ولا شتان,null,null,null
سمندو,null,null,null
كوغون,57.06721,29.61836,old
جالق,62.64811,27.64173,old
البثنية,36.15837,32.72189,old
الرصافة,38.77933,35.60242,old
سروزن,62.17057,31.14385,old
خاره,null,null,null
النباج,44.45181,26.35812,old
أسفراين,57.43023,36.98777,old
نهاوند,48.39263,34.21512,old
الراشدية,null,null,null
أنجيره,54.41329,32.14014,old
ترمذ,null,null,null
الدندانقان,61.65152,37.27393,old
قلميهن,59.28793,37.12708,old
رباط علياباذ؟؟؟,null,null,null
بيت المقدس,35.20345,31.77768,old
بغداد,44.35693,33.35932,old
عين العصافير,null,null,null
الديمر,48.56298514792335,34.601182908451335,new
ريكان,58.73846,28.65133,old
المهجرة,43.54039,17.60657,old
الملاحة,59.36352,35.53664,old
بايماب,null,null,null
شمسين,36.74279,34.53863,old
