URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
afg̲h̲ānistān	afg̲h̲ānistān	afg̲h̲ānistān	TYPE	LAT	LON	Afghanistan	33.93911	67.709953	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
portuguese	portuguese	portuguese	TYPE	LAT	LON	Portugal	39.399872	-8.224454	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
tabrīz	tabrīz	tabrīz	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
ifrīḳiya	ifrīḳiya	ifrīḳiya	TYPE	LAT	LON	Tunisia	33.886917	9.537499	Black	North Africa	26.278070285714282	9.92387657142857	Black
buk̲h̲ārā	buk̲h̲ārā	buk̲h̲ārā	TYPE	LAT	LON	Uzbekistan	41.377491	64.585262	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
ād̲h̲arbāyd̲j̲ān	ād̲h̲arbāyd̲j̲ān	ād̲h̲arbāyd̲j̲ān	TYPE	LAT	LON	Azerbaijan	40.143105	47.576927	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
italian	italian	italian	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
euphrates	euphrates	euphrates	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
moroccan	moroccan	moroccan	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
hindu	hindu	hindu	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
samarḳand	samarḳand	samarḳand	TYPE	LAT	LON	Uzbekistan	41.377491	64.585262	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
kirmān	kirmān	kirmān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
lebanon	lebanon	lebanon	TYPE	LAT	LON	Lebanon	33.854721	35.862285	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
s̲h̲īrāz	s̲h̲īrāz	s̲h̲īrāz	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
wiesbaden	wiesbaden	wiesbaden	TYPE	LAT	LON	Germany	51.165691	10.451526	Black	Western Europe	48.3439821111111	7.589095333333335	Black
harāt	harāt	harāt	TYPE	LAT	LON	Afghanistan	33.93911	67.709953	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
tripoli	tripoli	tripoli	TYPE	LAT	LON	Libya	26.3351	17.228331	Black	North Africa	26.278070285714282	9.92387657142857	Black
fās	fās	fās	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
mesopotamia	mesopotamia	mesopotamia	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
